,0
1660,3326350343
1661,3326342088
1662,3325996191
1663,3325977496
1664,3325983452
1665,3325918094
1666,3325904901
1667,3325804897
1668,3325718839
1669,3325694790
1670,3325393905
1671,3325420556
1672,3325347287
1673,3325319253
1674,3324141412
1675,3324120773
1676,3324078981
1677,3324067755
1678,3324054643
1679,3324070665
1680,3324015324
1681,3322673220
1682,3322626838
1683,3322596526
1684,3322559890
1685,3322544586
1686,3321895885
1687,3320182636
1688,3320166055
1689,3320112570
1690,3320066511
1691,3320052486
1692,3320036142
1693,3320031354
1694,3319928934
1695,3319923737
1696,3382214465
1697,3381993831
1698,3381922660
1699,3381386141
1700,3381306455
1701,3380451863
1702,3380379646
1703,3380220434
1704,3380138277
1705,3379937810
1706,3379896861
1707,3379749825
1708,3379631524
1709,3377499371
1710,3377481009
1711,3376751419
1712,3376649401
1713,3376613174
1714,3376383737
1715,3376277524
1716,3375547105
1717,3375543611
1718,3374343939
1719,3374300671
1720,3374237121
1721,3374269964
1722,3374176757
1723,3374154792
1724,3374058038
1725,3374055331
1726,3374050328
1727,3373995929
1728,3373982750
1729,3373941173
1730,3373838081
1731,3373815421
1732,3373759728
1733,3372433745
1734,3371070693
1735,3370999199
1736,3370978164
1737,3370977028
1738,3370922820
1739,3370880619
1740,3370835026
1741,3370850760
1742,3370737345
1743,3369406361
1744,3369359667
1745,3369354462
1746,3369381754
1747,3369380053
1748,3369307261
1749,3369296071
1750,3369284478
1751,3369293238
1752,3369088763
1753,3369101961
1754,3369041200
1755,3367181149
1756,3367123258
1757,3364546765
1758,3364512428
1759,3364494805
1760,3364184424
1761,3362969068
1762,3362975352
1763,3363021231
1764,3362909648
1765,3362924596
1766,3362879255
1767,3362884163
1768,3362831167
1769,3362784292
1770,3362739195
1771,3362733074
1772,3362619656
1773,3361447384
1774,3360340870
1775,3360266455
1776,3360233064
1777,3360218282
1778,3359444719
1779,3359386862
1780,3359372116
1781,3359314379
1782,3359250980
1783,3382369444
1784,3382401856
1785,3382315888
1786,3382333520
1787,3382237897
1788,3382253716
1789,3382121152
1790,3381563524
1791,3381498882
1792,3381503805
1793,3380276458
1794,3380295199
1795,3380303443
1796,3380310982
1797,3380244346
1798,3380183399
1799,3380169079
1800,3378821578
1801,3378753756
1802,3378429906
1803,3378423435
1804,3378349427
1805,3378301709
1806,3377393880
1807,3376999393
1808,3377027305
1809,3376965116
1810,3376993507
1811,3376854940
1812,3376728263
1813,3376745082
1814,3376692133
1815,3376662524
1816,3376596246
1817,3376552089
1818,3375577781
1819,3375566470
1820,3375518876
1821,3375533078
1822,3375465200
1823,3375358662
1824,3375341259
1825,3375244441
1826,3375134115
1827,3374929768
1828,3374776050
1829,3374575884
1830,3373964002
1831,3373620183
1832,3373397114
1833,3372474423
1834,3372472803
1835,3372433067
1836,3372469902
1837,3372185525
1838,3372079771
1839,3370734883
1840,3369769918
1841,3369227834
1842,3365320561
1843,3363916296
1844,3363872105
1845,3363547520
1846,3363582798
1847,3362226943
1848,3362173993
1849,3358357219
1850,3357171911
1851,3357030597
1852,3355360221
1853,3355067669
1854,3355049974
1855,3353634917
1856,3353568588
1857,3353414847
1858,3352746832
1859,3352772278
1860,3351601534
1861,3351392060
1862,3351213125
1863,3349594377
1864,3349108855
1865,3348200863
1866,3348174868
1867,3348131471
1868,3347789112
1869,3380908290
1870,3380940584
1871,3380761627
1872,3380723899
